equal_cell_bin,n_cells,n_donors,pseudotime_min,pseudotime_mean,pseudotime_max,basal.colonies,basal.confluent,basal.subconfluent,ciliated,ciliating.early,ciliating.late,d.basal,p.basal,passes_visual_rule
1,153,3,0.0,0.15260174491608702,0.212016709396924,96,0,24,0,0,0,6,27,True
2,153,3,0.21223289033746,0.23908842238205552,0.261588748338711,84,3,24,0,0,0,19,23,True
3,153,3,0.261588748338711,0.27900824185395523,0.292225941825862,86,1,7,0,0,0,24,35,True
4,153,3,0.292393744925391,0.3125227616617685,0.335415194405438,35,1,3,0,0,0,56,58,True
5,153,3,0.335442457441611,0.370087280847994,0.408825480686426,11,1,2,0,1,0,77,61,True
6,152,3,0.408902533698361,0.46068227872681244,0.563975954996793,1,0,0,4,19,7,47,74,True
7,153,3,0.564834018062791,0.591830315257622,0.619850133447327,0,0,0,36,8,109,0,0,True
8,153,3,0.620371974999599,0.6531671640285769,0.680176563260044,0,0,0,10,13,130,0,0,True
9,153,3,0.680267428172687,0.7046436951987282,0.742982810085842,0,0,0,22,13,118,0,0,True
10,153,3,0.743686009454013,0.8228338503774086,1.0,2,0,0,80,12,39,0,20,True
