record_type,panel,feature,exposure,result_id,dataset,analysis,comparison,estimate,unit,lower_CI,upper_CI,P,FDR,N_subjects,N_samples,statistical_model,source_table,source_file,source_script,source_figure,authoritative_version,notes,evidence_strength,display_effect,stage,label,relationship
exposure_effect,A,OXIDATIVE_STRESS,PM2.5,PMD02,GSE144770,controlled particulate exposure,ordinal dose response,0.372934557336726,per-dose-step slope,0.265750404999371,0.480118709674082,0.0006423646591854,0.0064236465918545,5.0,5.0,per-donor linear dose slope followed by one-sample t test,03_PM25/SECOND_VALIDATION/GSE144770/results/dose_response_effects.csv,03_PM25/SECOND_VALIDATION/GSE144770/results/dose_response_effects.csv,03_PM25/analyze_GSE144770_second_stage.R,03_PM25/SECOND_VALIDATION/GSE144770/results/figures/GSE144770_PM25_validation.png,final clean run frozen 2026-08-12,,FDR<0.05,0.6150159793189897,,,
exposure_effect,A,OXIDATIVE_STRESS,Whole smoke,SMK02,GSE135188,whole-cigarette-smoke controlled exposure,smoke vs air,1.46585862276523,donor-paired score change,1.08575952251801,1.84595772301246,0.0001782181216991,0.0017634578435401,6.0,6.0,donor-paired t-test after averaging three technical/ALI wells,04_smoke/GSE135188/results/smoke_signature_gene_effects.csv,04_smoke/GSE135188/results/smoke_signature_gene_effects.csv,04_smoke/analyze_GSE135188_smoke.R,07_figures/GSE135188_smoke_signature_effects.png,final clean run frozen 2026-08-12,,FDR<0.05,0.731177465967279,,,
exposure_effect,A,OXIDATIVE_STRESS,Stretch,STR02,GSE59128,cyclic mechanical stretch,24 h stretch vs matched sham,-1.6331479581214,matched cell-line score change,-1.99039515346299,-1.27590076277981,0.0007041733327075,0.0070417333270753,4.0,4.0,matched cell-line paired t-test,05_stretch/GSE59128_unified/paired_signature_effects.csv,05_stretch/GSE59128_unified/paired_signature_effects.csv,05_stretch/analyze_GSE59128_unified.R,07_figures/GSE59128_paired_stretch_effects.png,final clean run frozen 2026-08-12,,FDR<0.05,-1.0,,,
exposure_effect,A,DNA_DAMAGE_RESPONSE,PM2.5,PMD01,GSE144770,controlled particulate exposure,ordinal dose response,-0.0241256633947475,per-dose-step slope,-0.289857003791715,0.24160567700222,0.813407164591611,0.813407164591611,5.0,5.0,per-donor linear dose slope followed by one-sample t test,03_PM25/SECOND_VALIDATION/GSE144770/results/dose_response_effects.csv,03_PM25/SECOND_VALIDATION/GSE144770/results/dose_response_effects.csv,03_PM25/analyze_GSE144770_second_stage.R,03_PM25/SECOND_VALIDATION/GSE144770/results/figures/GSE144770_PM25_validation.png,final clean run frozen 2026-08-12,,not significant,-0.03978625259456412,,,
exposure_effect,A,DNA_DAMAGE_RESPONSE,Whole smoke,SMK01,GSE135188,whole-cigarette-smoke controlled exposure,smoke vs air,-0.124718896909494,donor-paired score change,-0.571400593837861,0.321962800018873,0.505045220136633,0.531626547512246,6.0,6.0,donor-paired t-test after averaging three technical/ALI wells,04_smoke/GSE135188/results/smoke_signature_gene_effects.csv,04_smoke/GSE135188/results/smoke_signature_gene_effects.csv,04_smoke/analyze_GSE135188_smoke.R,07_figures/GSE135188_smoke_signature_effects.png,final clean run frozen 2026-08-12,,not significant,-0.06221039709033609,,,
exposure_effect,A,DNA_DAMAGE_RESPONSE,Stretch,STR01,GSE59128,cyclic mechanical stretch,24 h stretch vs matched sham,0.848998947531621,matched cell-line score change,0.304772949637401,1.39322494542584,0.0156945203282602,0.0313890406565204,4.0,4.0,matched cell-line paired t-test,05_stretch/GSE59128_unified/paired_signature_effects.csv,05_stretch/GSE59128_unified/paired_signature_effects.csv,05_stretch/analyze_GSE59128_unified.R,07_figures/GSE59128_paired_stretch_effects.png,final clean run frozen 2026-08-12,,FDR<0.05,0.5198542748742859,,,
exposure_effect,A,ABNORMAL_REPAIR,PM2.5,PMD03,GSE144770,controlled particulate exposure,ordinal dose response,0.151294779315818,per-dose-step slope,-0.113766640357756,0.416356198989391,0.188196174005579,0.349588690353422,5.0,5.0,per-donor linear dose slope followed by one-sample t test,03_PM25/SECOND_VALIDATION/GSE144770/results/dose_response_effects.csv,03_PM25/SECOND_VALIDATION/GSE144770/results/dose_response_effects.csv,03_PM25/analyze_GSE144770_second_stage.R,03_PM25/SECOND_VALIDATION/GSE144770/results/figures/GSE144770_PM25_validation.png,final clean run frozen 2026-08-12,,not significant,0.24950411549754484,,,
exposure_effect,A,ABNORMAL_REPAIR,Whole smoke,SMK03,GSE135188,whole-cigarette-smoke controlled exposure,smoke vs air,0.688104699844214,donor-paired score change,0.401313805986211,0.974895593702217,0.0016313562348535,0.0065254249394143,6.0,6.0,donor-paired t-test after averaging three technical/ALI wells,04_smoke/GSE135188/results/smoke_signature_gene_effects.csv,04_smoke/GSE135188/results/smoke_signature_gene_effects.csv,04_smoke/analyze_GSE135188_smoke.R,07_figures/GSE135188_smoke_signature_effects.png,final clean run frozen 2026-08-12,,FDR<0.05,0.3432299970396583,,,
exposure_effect,A,ABNORMAL_REPAIR,Stretch,STR03,GSE59128,cyclic mechanical stretch,24 h stretch vs matched sham,-0.229460127022696,matched cell-line score change,-0.914928691069468,0.456008437024077,0.364864043841537,0.608106739735895,4.0,4.0,matched cell-line paired t-test,05_stretch/GSE59128_unified/paired_signature_effects.csv,05_stretch/GSE59128_unified/paired_signature_effects.csv,05_stretch/analyze_GSE59128_unified.R,07_figures/GSE59128_paired_stretch_effects.png,final clean run frozen 2026-08-12,,not significant,-0.1405017383033945,,,
exposure_effect,A,KRT14_KRT17_REPAIR,PM2.5,PMD04,GSE144770,controlled particulate exposure,ordinal dose response,0.254512853893551,per-dose-step slope,-0.233177088541389,0.742202796328491,0.220935573853287,0.368225956422145,5.0,5.0,per-donor linear dose slope followed by one-sample t test,03_PM25/SECOND_VALIDATION/GSE144770/results/dose_response_effects.csv,03_PM25/SECOND_VALIDATION/GSE144770/results/dose_response_effects.csv,03_PM25/analyze_GSE144770_second_stage.R,03_PM25/SECOND_VALIDATION/GSE144770/results/figures/GSE144770_PM25_validation.png,final clean run frozen 2026-08-12,,not significant,0.419723699526406,,,
exposure_effect,A,KRT14_KRT17_REPAIR,Whole smoke,SMK04,GSE135188,whole-cigarette-smoke controlled exposure,smoke vs air,1.05650612440175,donor-paired score change,0.616173952808561,1.49683829599493,0.0016313150694518,0.0065254249394143,6.0,6.0,donor-paired t-test after averaging three technical/ALI wells,04_smoke/GSE135188/results/smoke_signature_gene_effects.csv,04_smoke/GSE135188/results/smoke_signature_gene_effects.csv,04_smoke/analyze_GSE135188_smoke.R,07_figures/GSE135188_smoke_signature_effects.png,final clean run frozen 2026-08-12,,FDR<0.05,0.5269904333350597,,,
exposure_effect,A,KRT14_KRT17_REPAIR,Stretch,STR04,GSE59128,cyclic mechanical stretch,24 h stretch vs matched sham,-0.042245806611831,matched cell-line score change,-0.45401374321853,0.369522129994868,0.76549337474814,0.844368780053866,4.0,4.0,matched cell-line paired t-test,05_stretch/GSE59128_unified/paired_signature_effects.csv,05_stretch/GSE59128_unified/paired_signature_effects.csv,05_stretch/analyze_GSE59128_unified.R,07_figures/GSE59128_paired_stretch_effects.png,final clean run frozen 2026-08-12,,not significant,-0.025867715415341847,,,
exposure_effect,A,CILIA_CONSENSUS,PM2.5,PMD05,GSE144770,controlled particulate exposure,ordinal dose response,-0.253618605617959,per-dose-step slope,-0.406426104168586,-0.100811107067332,0.0099696056932139,0.0498480284660697,5.0,5.0,per-donor linear dose slope followed by one-sample t test,03_PM25/SECOND_VALIDATION/GSE144770/results/dose_response_effects.csv,03_PM25/SECOND_VALIDATION/GSE144770/results/dose_response_effects.csv,03_PM25/analyze_GSE144770_second_stage.R,03_PM25/SECOND_VALIDATION/GSE144770/results/figures/GSE144770_PM25_validation.png,final clean run frozen 2026-08-12,,FDR<0.05,-0.418248971673629,,,
exposure_effect,A,CILIA_CONSENSUS,Whole smoke,SMK05,GSE135188,whole-cigarette-smoke controlled exposure,smoke vs air,-0.702833175624286,donor-paired score change,-1.50880869598291,0.103142344734333,0.0750619558226293,0.187654889556573,6.0,6.0,donor-paired t-test after averaging three technical/ALI wells,04_smoke/GSE135188/results/smoke_signature_gene_effects.csv,04_smoke/GSE135188/results/smoke_signature_gene_effects.csv,04_smoke/analyze_GSE135188_smoke.R,07_figures/GSE135188_smoke_signature_effects.png,final clean run frozen 2026-08-12,,not significant,-0.35057663295064295,,,
exposure_effect,A,CILIA_CONSENSUS,Stretch,STR05,GSE59128,cyclic mechanical stretch,24 h stretch vs matched sham,-0.138021390471912,matched cell-line score change,-0.222233019857165,-0.0538097610866587,0.0137021189220567,0.0313890406565204,4.0,4.0,matched cell-line paired t-test,05_stretch/GSE59128_unified/paired_signature_effects.csv,05_stretch/GSE59128_unified/paired_signature_effects.csv,05_stretch/analyze_GSE59128_unified.R,07_figures/GSE59128_paired_stretch_effects.png,final clean run frozen 2026-08-12,,FDR<0.05,-0.08451248387235971,,,
exposure_effect,A,MULTICILIOGENESIS,PM2.5,PMD06,GSE144770,controlled particulate exposure,ordinal dose response,-0.296866426198148,per-dose-step slope,-0.457195454608023,-0.136537397788272,0.0067871157705943,0.0452474384706288,5.0,5.0,per-donor linear dose slope followed by one-sample t test,03_PM25/SECOND_VALIDATION/GSE144770/results/dose_response_effects.csv,03_PM25/SECOND_VALIDATION/GSE144770/results/dose_response_effects.csv,03_PM25/analyze_GSE144770_second_stage.R,03_PM25/SECOND_VALIDATION/GSE144770/results/figures/GSE144770_PM25_validation.png,final clean run frozen 2026-08-12,,FDR<0.05,-0.4895700659628912,,,
exposure_effect,A,MULTICILIOGENESIS,Whole smoke,SMK06,GSE135188,whole-cigarette-smoke controlled exposure,smoke vs air,-0.556563696865845,donor-paired score change,-1.24243330370714,0.129305909975451,0.0913681433081501,0.19422123854357,6.0,6.0,donor-paired t-test after averaging three technical/ALI wells,04_smoke/GSE135188/results/smoke_signature_gene_effects.csv,04_smoke/GSE135188/results/smoke_signature_gene_effects.csv,04_smoke/analyze_GSE135188_smoke.R,07_figures/GSE135188_smoke_signature_effects.png,final clean run frozen 2026-08-12,,not significant,-0.27761670000349375,,,
exposure_effect,A,MULTICILIOGENESIS,Stretch,,,,,,,,,,,,,,,,,,,,not assessed,,,,
exposure_effect,A,MATURE_CILIATED,PM2.5,PMD07,GSE144770,controlled particulate exposure,ordinal dose response,-0.25161109816275,per-dose-step slope,-0.42417310534916,-0.0790490909763402,0.0154973209225478,0.0516577364084926,5.0,5.0,per-donor linear dose slope followed by one-sample t test,03_PM25/SECOND_VALIDATION/GSE144770/results/dose_response_effects.csv,03_PM25/SECOND_VALIDATION/GSE144770/results/dose_response_effects.csv,03_PM25/analyze_GSE144770_second_stage.R,03_PM25/SECOND_VALIDATION/GSE144770/results/figures/GSE144770_PM25_validation.png,final clean run frozen 2026-08-12,,P<0.05,-0.4149383394480379,,,
